epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,6.62579,1.36502,4.47189,2.2599,0.03129,0.34568,0.77778,0.3545,0.25304,0.86671,2.63484,1.43914,0.02673,0.0003,0.0003,0.0003
2,9.65729,0.80385,1.59718,1.72757,0.02511,0.72665,0.63492,0.70997,0.598,0.59808,1.60827,1.39452,0.02349,0.000613862,0.000613862,0.000613862
3,12.6479,0.66501,1.01861,1.48097,0.0242,0.95307,0.80952,0.95084,0.82709,0.59337,0.79932,1.25222,0.02134,0.000921388,0.000921388,0.000921388
4,15.5172,0.67011,0.96096,1.40891,0.02648,0.8239,0.92857,0.9492,0.82348,0.54505,0.70323,1.26109,0.01723,0.00122258,0.00122258,0.00122258
5,18.3566,0.63638,0.85878,1.32882,0.02462,0.83971,0.9127,0.9412,0.8581,0.50233,0.6251,1.16476,0.02259,0.00151743,0.00151743,0.00151743
6,21.2748,0.62025,0.79734,1.25921,0.02712,0.91353,0.94444,0.98006,0.88031,0.53066,0.57199,1.13766,0.02581,0.00180595,0.00180595,0.00180595
7,24.1115,0.61767,0.76958,1.25085,0.02579,0.87111,0.85822,0.93516,0.81212,0.59951,0.72968,1.21963,0.02307,0.0018812,0.0018812,0.0018812
8,26.942,0.62244,0.73121,1.18988,0.02412,0.89996,0.9127,0.96815,0.85066,0.56054,0.66142,1.0869,0.02983,0.0018614,0.0018614,0.0018614
9,29.8012,0.60405,0.69517,1.14583,0.0283,0.9186,0.89564,0.96843,0.85204,0.53129,0.58535,0.9718,0.02511,0.0018416,0.0018416,0.0018416
10,32.6262,0.61426,0.70428,1.0855,0.0319,0.8867,0.87302,0.94234,0.8612,0.49772,0.61321,0.99811,0.02713,0.0018218,0.0018218,0.0018218
11,35.4444,0.58607,0.71266,1.10021,0.03688,0.94257,0.91177,0.97402,0.87543,0.51985,0.61041,0.96565,0.02886,0.001802,0.001802,0.001802
12,38.2949,0.55801,0.67629,1.0413,0.0313,0.91236,0.94444,0.97582,0.89383,0.46927,0.52345,0.93657,0.02877,0.0017822,0.0017822,0.0017822
13,41.2282,0.56929,0.66282,1.03946,0.02678,0.91334,0.86508,0.94887,0.86598,0.47148,0.69594,0.93079,0.02663,0.0017624,0.0017624,0.0017624
14,44.0831,0.56559,0.62188,1.02004,0.03164,0.91303,0.9127,0.96556,0.89008,0.46414,0.55971,0.91535,0.0308,0.0017426,0.0017426,0.0017426
15,46.9494,0.5576,0.62866,1.02664,0.04146,0.94213,0.90443,0.97482,0.88669,0.48881,0.70509,0.95233,0.02354,0.0017228,0.0017228,0.0017228
16,49.8046,0.55444,0.62253,1.05949,0.03103,0.93708,0.92857,0.97109,0.91373,0.43735,0.48405,0.99318,0.0234,0.001703,0.001703,0.001703
17,52.7139,0.55008,0.60716,1.08499,0.03267,0.90573,0.96032,0.98022,0.90407,0.43713,0.46679,0.97764,0.02074,0.0016832,0.0016832,0.0016832
18,55.5563,0.52459,0.59655,1.03926,0.02856,0.90986,0.96825,0.97661,0.9091,0.43092,0.47589,0.90856,0.01967,0.0016634,0.0016634,0.0016634
19,58.4014,0.53183,0.59388,1.00652,0.02845,0.92016,0.96825,0.9747,0.89325,0.47996,0.47528,0.90274,0.02743,0.0016436,0.0016436,0.0016436
20,61.2169,0.51286,0.56884,0.96553,0.02881,0.92767,0.95238,0.9832,0.90811,0.4251,0.47719,0.87606,0.01822,0.0016238,0.0016238,0.0016238
21,64.065,0.52312,0.58582,0.96402,0.03143,0.89769,0.96032,0.98236,0.89822,0.45169,0.48905,0.9023,0.03049,0.001604,0.001604,0.001604
22,66.8821,0.52071,0.57477,0.95906,0.03446,0.90913,0.95289,0.95943,0.90695,0.36523,0.50612,0.86708,0.01538,0.0015842,0.0015842,0.0015842
23,69.697,0.4892,0.55265,0.95647,0.03112,0.90359,0.96696,0.9782,0.94227,0.36346,0.43709,0.86908,0.01481,0.0015644,0.0015644,0.0015644
24,72.6044,0.50366,0.50973,0.95753,0.02495,0.96347,0.92857,0.96867,0.92004,0.37415,0.65818,0.86152,0.01773,0.0015446,0.0015446,0.0015446
25,75.4303,0.51317,0.56356,0.95242,0.03148,0.95096,0.92333,0.98376,0.94212,0.3549,0.42018,0.86877,0.01425,0.0015248,0.0015248,0.0015248
26,78.2652,0.49328,0.53123,0.9535,0.02546,0.965,0.92063,0.98232,0.90968,0.41818,0.44603,0.93329,0.01433,0.001505,0.001505,0.001505
27,81.112,0.4767,0.54115,0.98062,0.02508,0.91569,0.95238,0.97767,0.91309,0.40994,0.44825,0.88691,0.01492,0.0014852,0.0014852,0.0014852
28,83.9569,0.47934,0.53074,0.96473,0.02164,0.91631,0.97619,0.98128,0.89865,0.44552,0.4601,0.96963,0.01577,0.0014654,0.0014654,0.0014654
29,86.7858,0.49544,0.55111,0.97832,0.02246,0.89439,0.96825,0.98125,0.91411,0.41203,0.45122,0.89637,0.01396,0.0014456,0.0014456,0.0014456
30,89.6208,0.48581,0.52681,0.97586,0.01913,0.95865,0.92008,0.98389,0.91383,0.43497,0.45305,0.8914,0.01665,0.0014258,0.0014258,0.0014258
31,92.4701,0.48794,0.4995,0.97933,0.02007,0.91452,0.93404,0.97492,0.91361,0.40655,0.48992,0.89779,0.00964,0.001406,0.001406,0.001406
32,95.3278,0.48161,0.52355,0.96082,0.02268,0.98019,0.90476,0.98594,0.91358,0.43217,0.48938,0.86933,0.01987,0.0013862,0.0013862,0.0013862
33,98.1941,0.47466,0.52449,0.87515,0.03409,0.90465,0.93651,0.96261,0.86741,0.47789,0.50117,0.86998,0.04842,0.0013664,0.0013664,0.0013664
34,101.033,0.50938,0.53179,0.87111,0.03569,0.95078,0.91982,0.98169,0.92965,0.36843,0.45693,0.84471,0.02495,0.0013466,0.0013466,0.0013466
35,103.903,0.49134,0.53552,0.867,0.02779,0.94538,0.96825,0.98606,0.94693,0.34035,0.37838,0.83342,0.02009,0.0013268,0.0013268,0.0013268
36,106.792,0.46953,0.5264,0.87446,0.02798,0.95398,0.96032,0.9869,0.94124,0.35369,0.37728,0.82922,0.01505,0.001307,0.001307,0.001307
37,109.661,0.46133,0.51875,0.89358,0.02505,0.93993,0.97619,0.98824,0.92944,0.41968,0.40943,0.85365,0.01876,0.0012872,0.0012872,0.0012872
38,112.589,0.46832,0.502,0.92114,0.02735,0.94448,0.945,0.98659,0.89764,0.47632,0.42448,0.84402,0.01723,0.0012674,0.0012674,0.0012674
39,115.435,0.47726,0.49625,0.8769,0.03088,0.95957,0.94193,0.98892,0.9185,0.43683,0.39917,0.83081,0.02423,0.0012476,0.0012476,0.0012476
40,118.265,0.44421,0.469,0.85555,0.02104,0.94881,0.94444,0.98739,0.9118,0.45667,0.4185,0.86986,0.01856,0.0012278,0.0012278,0.0012278
41,121.112,0.45477,0.52055,0.90183,0.02219,0.90916,0.95238,0.97616,0.91973,0.39237,0.42114,0.85498,0.01605,0.001208,0.001208,0.001208
42,123.971,0.45102,0.48813,0.88261,0.02263,0.95238,0.95233,0.98541,0.91613,0.43685,0.40994,0.8258,0.01236,0.0011882,0.0011882,0.0011882
43,126.825,0.45856,0.48617,0.88321,0.02342,0.93191,0.97757,0.99053,0.91357,0.43793,0.39094,0.83216,0.01536,0.0011684,0.0011684,0.0011684
44,129.657,0.44239,0.45423,0.86218,0.02097,0.98557,0.9127,0.98639,0.93698,0.36176,0.38675,0.82671,0.01298,0.0011486,0.0011486,0.0011486
45,132.503,0.42556,0.49171,0.8624,0.02061,0.91827,0.99206,0.98706,0.932,0.34675,0.38116,0.82919,0.00958,0.0011288,0.0011288,0.0011288
