epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
46,135.34,0.43519,0.48531,0.87914,0.01774,0.9504,0.95238,0.98869,0.92472,0.3885,0.38084,0.84401,0.01183,0.001109,0.001109,0.001109
47,138.226,0.43205,0.46111,0.86331,0.01775,0.95264,0.95785,0.98833,0.93904,0.37478,0.36628,0.84318,0.01048,0.0010892,0.0010892,0.0010892
48,141.078,0.43293,0.4507,0.85332,0.02022,0.98598,0.92063,0.98881,0.93361,0.362,0.37084,0.83714,0.01024,0.0010694,0.0010694,0.0010694
49,143.942,0.42898,0.47332,0.87278,0.0186,0.97544,0.94558,0.98748,0.95676,0.32585,0.35998,0.84099,0.01113,0.0010496,0.0010496,0.0010496
50,146.918,0.41401,0.44833,0.86479,0.01568,0.92421,0.96787,0.98536,0.94235,0.34924,0.37566,0.82983,0.01031,0.0010298,0.0010298,0.0010298
51,149.783,0.41578,0.48205,0.86106,0.01535,0.96172,0.92857,0.98757,0.9345,0.35772,0.3627,0.83265,0.01049,0.00101,0.00101,0.00101
52,152.634,0.43189,0.4369,0.85643,0.01624,0.96016,0.95629,0.98977,0.91544,0.44259,0.39205,0.85396,0.01122,0.0009902,0.0009902,0.0009902
53,155.502,0.4248,0.456,0.86274,0.01727,0.95813,0.93651,0.98619,0.92719,0.38403,0.38487,0.84685,0.00888,0.0009704,0.0009704,0.0009704
54,158.364,0.41691,0.42844,0.85843,0.01494,0.97107,0.9127,0.98567,0.92332,0.38821,0.40042,0.8261,0.01068,0.0009506,0.0009506,0.0009506
55,161.219,0.43443,0.47322,0.86424,0.01796,0.96647,0.9151,0.98698,0.9376,0.36607,0.37061,0.82303,0.00922,0.0009308,0.0009308,0.0009308
56,164.067,0.39921,0.40869,0.84663,0.01268,0.93703,0.94483,0.98652,0.92837,0.37199,0.37012,0.82821,0.0102,0.000911,0.000911,0.000911
57,166.897,0.40682,0.43078,0.85516,0.01376,0.95966,0.9441,0.98791,0.90558,0.4667,0.39829,0.85885,0.0094,0.0008912,0.0008912,0.0008912
58,169.765,0.41328,0.44016,0.84926,0.01384,0.95936,0.96032,0.98858,0.93088,0.38077,0.37429,0.85792,0.00759,0.0008714,0.0008714,0.0008714
59,172.623,0.4256,0.44653,0.86191,0.01501,0.95925,0.94444,0.98939,0.95614,0.29377,0.33739,0.81081,0.00795,0.0008516,0.0008516,0.0008516
60,175.457,0.40988,0.4274,0.85405,0.01342,0.94553,0.96443,0.98943,0.95969,0.28385,0.32401,0.7939,0.00869,0.0008318,0.0008318,0.0008318
61,178.386,0.41205,0.41173,0.85465,0.01483,0.95467,0.93651,0.98724,0.95334,0.3191,0.33631,0.81863,0.00842,0.000812,0.000812,0.000812
62,181.239,0.40505,0.42844,0.84635,0.0132,0.97369,0.95238,0.98733,0.93632,0.35492,0.36392,0.84243,0.00661,0.0007922,0.0007922,0.0007922
63,184.077,0.41375,0.41279,0.86143,0.01431,0.96744,0.94334,0.98858,0.93582,0.35503,0.37158,0.81767,0.00745,0.0007724,0.0007724,0.0007724
64,186.942,0.39038,0.41762,0.84406,0.01297,0.96622,0.94444,0.98831,0.91306,0.39892,0.35176,0.83039,0.0074,0.0007526,0.0007526,0.0007526
65,189.789,0.39904,0.40332,0.85242,0.01482,0.96715,0.93473,0.98752,0.93875,0.36193,0.38088,0.85212,0.0085,0.0007328,0.0007328,0.0007328
66,192.645,0.39795,0.40033,0.85858,0.01329,0.95809,0.94444,0.98815,0.96674,0.26789,0.35546,0.83087,0.00798,0.000713,0.000713,0.000713
67,195.59,0.39514,0.3997,0.85036,0.01233,0.96584,0.95238,0.98861,0.9281,0.36032,0.37644,0.84187,0.00758,0.0006932,0.0006932,0.0006932
68,198.437,0.39671,0.43488,0.83534,0.01138,0.96726,0.93787,0.98363,0.91614,0.40365,0.36294,0.84959,0.00649,0.0006734,0.0006734,0.0006734
69,201.294,0.39487,0.42607,0.86128,0.0138,0.9814,0.92063,0.98669,0.93709,0.33939,0.36212,0.84163,0.00791,0.0006536,0.0006536,0.0006536
70,204.145,0.39299,0.40699,0.86399,0.01283,0.9671,0.93311,0.98852,0.93264,0.36014,0.35795,0.83247,0.00766,0.0006338,0.0006338,0.0006338
71,207,0.40664,0.41707,0.86582,0.01388,0.96631,0.94444,0.98904,0.93472,0.35445,0.34627,0.83142,0.00698,0.000614,0.000614,0.000614
72,209.823,0.39065,0.40861,0.84572,0.01219,0.9279,0.95238,0.98613,0.93642,0.35914,0.37922,0.82162,0.00788,0.0005942,0.0005942,0.0005942
73,212.679,0.39741,0.40913,0.82946,0.01217,0.97837,0.94444,0.98902,0.9331,0.33585,0.34054,0.81203,0.0074,0.0005744,0.0005744,0.0005744
74,215.522,0.39532,0.39966,0.8584,0.0109,0.95961,0.95238,0.99013,0.95365,0.33601,0.34071,0.81922,0.00778,0.0005546,0.0005546,0.0005546
75,218.366,0.38576,0.39264,0.85549,0.01259,0.99149,0.92437,0.99052,0.93832,0.36559,0.35708,0.84103,0.00718,0.0005348,0.0005348,0.0005348
76,221.236,0.38046,0.39134,0.85156,0.01212,0.95268,0.95865,0.99004,0.95516,0.32832,0.33165,0.83041,0.00739,0.000515,0.000515,0.000515
77,224.073,0.38427,0.38353,0.8486,0.01183,0.95997,0.95176,0.9901,0.94763,0.34898,0.32986,0.83401,0.00661,0.0004952,0.0004952,0.0004952
78,226.932,0.39549,0.39471,0.84945,0.01463,0.97709,0.93651,0.98999,0.95583,0.33337,0.33107,0.82726,0.00634,0.0004754,0.0004754,0.0004754
79,229.788,0.39138,0.38872,0.84126,0.01259,0.98354,0.94863,0.98969,0.95469,0.328,0.32806,0.82464,0.00712,0.0004556,0.0004556,0.0004556
80,232.649,0.39413,0.3903,0.82889,0.0144,0.97146,0.95238,0.98863,0.92604,0.38505,0.35613,0.83744,0.00749,0.0004358,0.0004358,0.0004358
81,235.517,0.37861,0.38289,0.86313,0.01315,0.96467,0.95238,0.98896,0.94733,0.32959,0.32783,0.83339,0.00724,0.000416,0.000416,0.000416
82,238.373,0.38179,0.3697,0.835,0.01174,0.98075,0.94444,0.99036,0.9506,0.32648,0.32899,0.82003,0.00621,0.0003962,0.0003962,0.0003962
83,241.211,0.37445,0.38237,0.8308,0.01259,0.96378,0.96032,0.98962,0.94776,0.34306,0.3292,0.82217,0.00664,0.0003764,0.0003764,0.0003764
84,244.051,0.38835,0.38556,0.82852,0.01176,0.96409,0.97619,0.98761,0.94547,0.32719,0.33887,0.81905,0.00679,0.0003566,0.0003566,0.0003566
85,246.891,0.37936,0.38046,0.83266,0.0111,0.96067,0.9693,0.98902,0.92581,0.37585,0.33435,0.82654,0.00663,0.0003368,0.0003368,0.0003368
86,249.756,0.38639,0.38497,0.83361,0.01095,0.97555,0.94998,0.98947,0.95438,0.31802,0.32322,0.81546,0.00631,0.000317,0.000317,0.000317
